1123;#MakeAmericaSafeAgain
1127;#MakeAmericaGreatAgain
1130;#ImWithHer
1132;#Diwali
1134;#BlackWomensEqualPay
1137;#LAflood
1142;#smallbiz
1173;#TeamTrump
1174;#MAGA
1174;#TrumpPence16
1191;#MAGA
1192;#TrumpPence16
1200;#TrumpPence16
1204;#MAGA
1204;#AlwaysTrump
1206;#StandWithLouisiana
1207;#WheresHillary
1213;#TrumpPence16
1215;#WHD
1222;#ImWithYou
1222;#TrumpTrain
1228;#MakeAmericaGreatAgain
1234;#RosanellEaton
1251;#MakeAmericaGreatAgain
1251;#ImWithYou
1254;#Obamacare
1264;#ImWithYou
1265;#MakeAmericaGreatAgain
1265;#ImWithYou
1266;#ImWithYou
1268;#LawandOrder
1268;#ImWithYou
1269;#LawandOrder
1269;#ImWithYou
1271;#MakeAmericaGreatAgain
1279;#Obamacare
1292;#DACA
1297;#extremevetting
1349;#MakeAmericaGreatAgain
1349;#USA
1354;#TrumpTrain
1365;#MakeAmericaGreatAgain
1368;#YouthDay
1369;#MAGA
1386;#TBT
1427;#MakeAmericaGreatAgain
1440;#MakeAmericaGreatAgain
1442;#MAGA
1453;#LESM
1460;#TrumpPence16
1462;#TrumpPence16
1465;#MakeAmericaGreatAgain
1466;#ElectionDay
1466;#2A
1466;#DefendtheSecond
1466;#NeverHillary
1467;#2A
1467;#SCOTUS
1467;#NeverHillary
1475;#MAGA
1475;#NeverHillary
1489;#MakeAmericaGreatAgain
1495;#taxplan
1495;#smallbiz
1504;#NeverTrump
1518;#ICYMI
1525;#PurpleHeartDay
1527;#ImWithHernandez
1528;#VirWINia
1534;#sendDonaldtospace
1535;#TrumpPence16
1535;#MAGA
1540;#DemConvention
1541;#RestoreTheVRA
1544;#CrookedHillary
1544;#TrumpPence16
1549;#ugpride2016
1550;#RestoreTheVRA
1555;#TeamUSA
1555;#OpeningCeremony
1555;#Rio2016
1557;#TrumpPence16
1557;#MAGA
1559;#TrumpPence16
1561;#MAGA
1561;#TrumpTrain
1570;#NABJNAHJ16
1592;#MakeAmericaGreatAgain
1602;#CoastGuardDay
1607;#MAGA
1611;#MakeAmericaGreatAgain
1613;#MAGA
1613;#ImWithYou
1614;#LESM
1614;#MAGA
1615;#MakeAmericaGreatAgain
1644;#ICYMI
1646;#MakeAmericaGreatAgain
1650;#ImWithYou
1652;#DemConvention
1654;#DemConvention
1654;#ImWithHer
1657;#CrookedHillary
1659;#MAGA
1660;#TrumpMovement
1660;#MAGA
1670;#ImWithYou
1670;#MAGA
1672;#ImWithYou
1672;#MAGA
1673;#MakeAmericaGreatAgain
1673;#ImWithYou
1699;#VoterFraud
1699;#MSM
1713;#1
1720;#CrookedHillary
1737;#ImWithHer
1740;#KhizrKhan
1742;#MAGA
1748;#Trump2016
1749;#MakeAmericaGreatAgain
1752;#CrookedHillary
1753;#MakeAmericaGreatAgain
1753;#LESM
1770;#TrumpPence16
1776;#NeverHillary
1778;#NeverHillary
1843;#StrongerTogether
1875;#DemConvention
1882;#DemsInPhilly
1884;#DemsInPhilly
1885;#DemConvention
1885;#DemsInPhilly
1889;#TBT
1889;#MAGA
1896;#DemsInPhilly
1897;#MAGA
1901;#DNC
1905;#NATO
1905;#DemsInPhilly
1987;#DemsInPhilly
1998;#StopGunViolence
1999;#MakeAmericaGreatAgain
2001;#enough
2001;#ImWithHer
2004;#DemsInPhilly
2006;#LGBT
2006;#Pulse
2007;#DemsInPhilly
2008;#DemsInPhilly
2009;#DemsInPhilly
2011;#DemsInPhilly
2013;#DemsinPhilly
2013;#DNCinPHL
2015;#DemsInPhilly
2019;#MakeAmericaGreatAgain
2020;#DemsInPhilly
2021;#DemConvention
2025;#MAGA
2032;#MakeAmericaGreatAgain
2037;#DemsInPHL
2047;#StrongerTogether
2047;#DemsinPhilly
2072;#DemConvention
2077;#DemsInPhilly
2082;#DemsInPhilly
2090;#WeMadeHistory
2095;#RollCallVote
2096;#RollCallVote
2097;#WeMadeHistory
2098;#ImWithHer
2098;#DemsInPhilly
2100;#WeMadeHistory
2102;#DemsInPhilly
2103;#DemsInPhilly
2104;#DemsInPhilly
2105;#WeMadeHistory
2110;#DemConvention
2111;#DemsinPHL
2112;#MakeAmericaGreatAgain
2113;#TrumpPence16
2113;#MAGA
2114;#TrumpPence16
2114;#MAGA
2115;#DemsInPHL
2116;#DemsInPHL
2122;#DemsInPhilly
2123;#DemsInPhilly
2128;#DemsInPhilly
